Source Table,Source Field,Transformation Rule / Join Logic,Target Column
EDW_PRD.USER_DB.VW_SUMHOTELGUESTDAILYAGG,GRIDNUM,Direct Mapping,GRIDNUM
EDW_PRD.USER_DB.VW_SUMHOTELGUESTDAILYAGG,PLAYERID,Direct Mapping,PLAYERID
EDW_PRD.USER_DB.VW_SUMHOTELGUESTDAILYAGG,CONFIRMATIONNUMBER,Direct Mapping,CONFIRMATIONNUMBER
EDW_PRD.USER_DB.VW_SUMHOTELGUESTDAILYAGG,RESERVATIONBEGINDATETIME,Direct Mapping,CHECKINDATETIME
EDW_PRD.USER_DB.VW_SUMHOTELGUESTDAILYAGG,RESERVATIONENDDATETIME,Direct Mapping,CHECKOUTDATETIME
EDW_PRD.USER_DB.VW_SUMHOTELGUESTDAILYAGG,RESERVATIONDATE,Direct Mapping,BKFRESERVATIONDATE
EDW_PRD.USER_DB.VW_SUMHOTELGUESTDAILYAGG,ADULTSCOUNT + CHILDRENCOUNT,Sum of counts,BKFPARTYSIZE
EDW_PRD.USER_DB.VW_SUMHOTELGUESTDAILYAGG,ROOMNUMBER,Direct Mapping,ROOMNUMBER
EDW_PRD.CIPEDW.DIMHOTELGUEST,FIRSTNAME,Join on GUESTNAMESOURCEID and SITECODE='WLV',FIRSTNAME
EDW_PRD.CIPEDW.DIMHOTELGUEST,LASTNAME,Join on GUESTNAMESOURCEID and SITECODE='WLV',LASTNAME
EDW_PRD.CIPEDW.REFHOTELGUESTEMAIL,EMAIL,Join on GUESTNAMESOURCEID and SITECODE='WLV' and EMAILTYPE='EMAIL',EMAIL
EDW_PRD.CIPEDW.REFHOTELGUESTPHONE,PHONENUMBER,"Join on GUESTNAMESOURCEID and SITECODE='WLV', clean spaces and hyphens",PHONENUMBER
EDW_PRD.USER_DB.VW_SUMHOTELGUESTDAILYAGG,RATECODE,Direct Mapping,RATECODE
EDW_PRD.CIPEDW.SUMDININGRESERVATION,STATUSCODE,Update existing reservation where BOOKEDBY='BKF',BKF_RESERVATION_STATUS
System,Fixed value '07:45:00',Static Time,BKFRESERVATIONTIME
System,CURRENT_TIMESTAMP(),Insert Timestamp,RECORDINSERTDATETIME
System,CURRENT_USER(),Insert User ID,RECORDINSERTUSERID
System,CURRENT_TIMESTAMP(),Update Timestamp,RECORDUPDATEDATETIME
System,'SVC_PRD_AIRFLOW',Update User ID,RECORDUPDATEUSERID
API Response,reservation_id,From API JSON,RESERVATIONID
API Response,reservation_reference_code,From API JSON,REFERENCECODE
API Response,client_id,From API JSON,CLIENTID
API Response,client_reference_code,From API JSON,CLIENTREFERENCECODE
API Response,msg,From API JSON,API_ERROR_MESSAGE
API Response,request_id,From API JSON,API_ERROR_REQUEST_ID
API Response,'SUCCESS' or 'ERROR',Based on response,BKF_RESERVATION_CREATE_STATUS
System,CURRENT_TIMESTAMP(),API call timestamp,BKF_RESERVATION_CREATE_DTTM
